Day,section,sum
132,3,1
141,3,1
142,2,1
151,1,1
154,2,1
157,1,1
159,3,1
163,1,1
163,2,2
166,1,2
166,2,3
169,2,3
171,3,2
172,1,7
174,3,1
175,1,1
175,2,1
181,2,2
184,1,3
184,2,3
186,3,1
187,1,2
187,2,1
189,3,2
190,1,1
190,2,1
192,3,1
195,3,2
196,1,2
196,2,3
197,4,1
198,3,1
199,1,4
199,2,1
201,3,1
202,1,1
202,2,2
204,3,2
205,1,1
205,2,1
208,1,1
208,2,3
214,1,1
214,2,2
216,3,1
217,1,1
220,1,1
222,3,1
223,1,1
226,1,1
228,3,1
229,1,1
229,2,1
231,3,1
232,1,2
238,2,1
241,1,1
