Day,section,sum
132,2,1
144,1,1
152,3,1
162,2,2
165,1,2
165,2,4
168,1,2
168,2,1
170,3,1
171,1,3
171,2,2
173,3,1
174,1,3
174,2,4
176,3,3
177,1,6
177,2,4
179,3,4
180,1,6
180,2,6
182,3,1
183,1,9
183,2,6
185,3,1
186,1,7
186,2,5
188,3,1
189,1,7
189,2,14
191,3,1
192,1,12
192,2,6
194,3,2
195,1,11
195,2,10
197,3,6
198,1,20
198,2,5
200,3,2
201,1,4
201,2,4
203,3,2
204,1,6
207,1,8
207,2,2
210,1,4
210,2,3
213,1,1
213,2,1
216,1,1
219,1,1
219,2,3
222,1,1
222,2,1
231,2,1
234,1,1
