Day,RKM483,RKM479,RKM474,RKM454
115,0,3,0,0
121,0,1,0,0
127,0,1,0,0
136,0,1,0,0
138,0,-0,1,0
139,0,3,-0,0
148,0,1,-0,0
154,0,2,-0,0
157,0,3,-0,0
163,0,1,-0,0
166,4,4,-0,0
168,-0,-0,1,0
169,1,4,-0,0
172,2,4,-0,0
175,-0,10,-0,0
178,3,14,-0,0
181,3,13,-0,0
183,-0,-0,1,0
184,8,10,-0,0
186,-0,-0,1,0
187,6,16,-0,0
190,14,22,-0,0
192,-0,-0,1,0
193,12,24,-0,0
196,13,17,-0,0
198,-0,-0,1,0
199,15,34,-0,0
204,-0,-0,1,0
205,12,22,-0,0
208,8,17,-0,0
210,-0,-0,1,0
211,4,7,-0,0
213,-0,-0,1,0
214,13,4,-0,0
217,2,10,-0,0
220,1,5,-0,0
222,-0,-0,1,0
223,5,6,-0,0
226,2,-0,-0,0
229,2,3,-0,0
232,-0,2,-0,0
235,-0,1,-0,0
238,1,-0,-0,0
241,1,-0,-0,0
