Day,RKM483,RKM479,RKM474,RKM454
118,2,1,0,0
124,1,-0,0,0
130,-0,1,0,0
132,-0,-0,1,0
133,-0,1,-0,0
136,2,-0,-0,0
139,2,1,-0,0
142,-0,1,-0,0
144,-0,-0,1,0
145,-0,4,-0,0
148,14,5,-0,0
150,-0,-0,2,0
151,6,4,-0,0
153,-0,-0,1,0
154,13,9,-0,0
156,-0,-0,2,0
157,13,6,-0,0
160,20,16,-0,0
162,-0,-0,1,0
163,20,9,-0,0
165,-0,-0,2,0
166,37,15,-0,0
168,-0,-0,1,0
169,38,23,-0,0
171,-0,-0,1,0
172,53,24,-0,0
174,-0,-0,2,0
175,49,42,-0,0
177,-0,-0,5,0
178,43,26,-0,0
180,-0,-0,6,0
181,92,34,-0,0
183,-0,-0,7,0
184,75,46,-0,0
186,-0,-0,7,0
187,70,27,-0,0
189,-0,-0,3,0
190,137,48,-0,0
192,-0,-0,8,0
193,91,33,-0,0
195,-0,-0,7,0
196,68,29,-0,0
198,-0,-0,5,0
199,61,25,-0,0
201,-0,-0,1,0
202,62,21,-0,0
204,-0,-0,2,0
205,56,11,-0,0
207,-0,-0,2,0
208,25,12,-0,0
210,-0,-0,1,0
211,29,8,-0,0
213,-0,-0,1,0
214,15,3,-0,0
216,-0,-0,1,0
217,8,4,-0,0
219,-0,-0,1,0
220,2,4,-0,0
