Day,RKM483,RKM479,RKM474,RKM454
129,3,2,0,0
135,2,1,0,0
138,2,2,0,0
140,-0,-0,1,0
141,4,-0,-0,0
144,3,-0,-0,0
146,-0,-0,1,0
147,3,4,-0,0
150,4,-0,-0,0
153,3,6,-0,0
156,9,4,-0,0
158,-0,-0,1,0
159,19,13,-0,0
161,-0,-0,2,0
162,14,14,-0,0
164,-0,-0,2,0
165,22,25,-0,0
167,-0,-0,2,0
168,36,26,-0,0
170,-0,-0,2,0
171,38,27,-0,0
173,-0,-0,3,0
174,57,33,-0,0
176,-0,-0,3,0
177,57,30,-0,0
179,-0,-0,1,0
180,72,49,-0,0
182,-0,-0,6,0
183,70,54,-0,0
185,-0,-0,8,0
186,59,58,-0,0
188,-0,-0,6,0
189,70,32,-0,0
191,-0,-0,7,0
192,51,45,-0,0
194,-0,-0,6,0
195,55,30,-0,0
197,-0,-0,9,0
198,51,40,-0,0
200,-0,-0,6,0
201,59,44,-0,0
203,-0,-0,4,0
204,42,13,-0,0
206,-0,-0,1,0
207,34,26,-0,0
209,-0,-0,3,0
210,16,11,-0,0
213,13,9,-0,0
216,2,4,-0,0
218,-0,-0,2,0
219,6,3,-0,0
221,-0,-0,1,0
222,8,2,-0,0
225,1,1,-0,0
228,1,4,-0,0
231,-0,1,-0,0
234,2,-0,-0,0
243,-0,1,-0,0
246,-0,1,-0,0
