Day,RKM483,RKM479,RKM474,RKM454
114,0,0,1,0
115,0,3,-0,0
117,0,-0,2,0
118,0,1,-0,0
124,0,4,-0,0
126,2,1,-0,0
130,-0,1,-0,0
132,-0,-0,1,0
136,-0,2,-0,0
138,-0,-0,1,0
139,1,1,-0,0
141,-0,-0,1,0
144,-0,-0,1,0
145,1,4,-0,0
147,-0,-0,1,0
148,-0,9,-0,0
150,-0,-0,2,0
151,-0,7,-0,0
153,-0,-0,1,0
154,-0,2,-0,0
156,-0,-0,4,0
157,3,10,-0,0
159,-0,-0,3,0
160,3,7,-0,0
162,-0,-0,3,0
163,5,20,-0,0
165,-0,-0,5,0
166,5,15,-0,0
168,-0,-0,9,0
169,10,24,-0,0
171,-0,-0,12,0
172,9,29,-0,0
174,-0,-0,16,0
175,8,38,-0,0
177,-0,-0,20,0
178,13,23,-0,0
180,-0,-0,27,0
181,10,42,-0,0
183,-0,-0,25,0
184,15,47,-0,0
186,-0,-0,19,0
187,18,67,-0,0
189,-0,-0,17,0
190,17,64,-0,0
192,-0,-0,15,0
193,11,69,-0,0
195,-0,-0,12,0
196,10,58,-0,0
198,-0,-0,8,0
199,16,36,-0,0
201,-0,-0,5,0
202,2,31,-0,0
204,-0,-0,5,0
205,6,16,-0,0
207,-0,-0,2,0
208,13,16,-0,0
210,-0,-0,1,0
211,6,7,-0,0
213,-0,-0,1,0
214,-0,2,-0,0
217,-0,2,-0,0
220,3,3,-0,0
226,-0,2,-0,0
