Day,RKM483,RKM479,RKM474,RKM454
113,0,2,0,0
125,4,-0,0,0
133,-0,-0,1,0
134,-0,2,-0,0
136,-0,-0,1,0
137,2,1,-0,0
139,-0,-0,1,0
140,1,6,-0,0
141,-0,-0,-0,1
143,3,8,-0,-0
145,-0,-0,1,-0
146,8,9,-0,-0
148,-0,-0,1,-0
149,10,10,-0,-0
151,-0,-0,1,-0
152,11,13,-0,-0
154,-0,-0,2,-0
155,19,42,-0,-0
157,-0,-0,5,-0
158,34,47,-0,-0
160,-0,-0,5,-0
161,34,44,-0,-0
163,-0,-0,7,-0
164,65,98,-0,-0
166,-0,-0,10,-0
167,30,77,-0,-0
169,-0,-0,7,-0
170,54,126,-0,-0
172,-0,-0,10,-0
173,41,132,-0,-0
175,-0,-0,14,-0
176,45,143,-0,-0
178,-0,-0,14,-0
179,82,142,-0,-0
181,-0,-0,17,-0
182,75,115,-0,-0
184,-0,-0,14,-0
185,60,140,-0,-0
187,-0,-0,17,-0
188,47,110,-0,-0
190,-0,-0,19,-0
191,71,89,-0,-0
193,-0,-0,16,-0
194,80,73,-0,-0
195,-0,-0,-0,1
196,-0,-0,9,-0
197,76,64,-0,-0
199,-0,-0,11,-0
200,43,80,-0,-0
202,-0,-0,4,-0
203,59,53,-0,-0
205,-0,-0,4,-0
206,42,33,-0,-0
208,-0,-0,2,-0
209,18,24,-0,-0
211,-0,-0,1,-0
212,16,12,-0,-0
215,7,4,-0,-0
217,-0,-0,1,-0
218,2,6,-0,-0
221,6,2,-0,-0
224,3,-0,-0,-0
227,-0,2,-0,-0
233,1,-0,-0,-0
236,1,-0,-0,-0
