Day,RKM483,RKM479,RKM474,RKM454
114,2,3,0,0
115,-0,-0,1,0
117,1,6,-0,0
118,-0,-0,1,0
120,-0,2,-0,0
121,-0,-0,1,0
123,2,5,-0,0
126,10,10,-0,0
129,5,7,2,0
132,2,8,-0,0
133,-0,-0,1,0
135,8,8,-0,0
136,-0,-0,1,0
138,5,14,-0,0
141,8,18,1,0
142,-0,-0,2,0
144,5,19,-0,0
147,8,19,1,0
148,-0,-0,2,0
150,7,19,-0,0
151,-0,-0,2,0
153,8,15,1,0
154,-0,-0,1,0
156,8,15,2,0
157,-0,-0,1,0
159,6,24,-0,0
160,-0,-0,4,0
162,10,23,-0,0
163,-0,-0,3,0
165,16,29,2,0
166,-0,-0,6,0
168,-0,-0,4,0
169,21,22,2,0
171,11,24,2,0
172,-0,-0,5,0
174,5,23,3,0
175,-0,-0,7,0
177,14,48,2,0
178,-0,-0,7,0
180,9,22,2,0
181,-0,-0,6,0
183,10,36,2,0
184,-0,-0,8,0
186,13,32,2,0
187,-0,-0,8,0
189,6,52,3,0
190,-0,-0,5,0
192,11,34,2,0
193,-0,-0,4,0
195,8,28,1,0
196,-0,-0,2,0
198,8,17,2,0
199,-0,-0,4,0
201,7,12,1,0
202,-0,-0,1,0
204,4,11,-0,0
205,-0,-0,2,0
207,-0,15,1,0
210,1,5,-0,0
213,-0,4,-0,0
216,-0,4,-0,0
222,-0,3,-0,0
232,-0,-0,1,0
