Day,RKM483,RKM479,RKM474,RKM454
128,0,2,0,0
134,0,1,0,0
140,0,1,0,0
145,0,-0,1,0
146,6,3,-0,0
149,4,2,-0,0
152,4,9,-0,0
155,4,5,-0,0
157,-0,-0,2,0
158,4,7,-0,0
160,-0,-0,1,0
161,13,20,-0,0
163,-0,-0,2,0
164,12,9,-0,0
166,-0,-0,2,0
167,25,41,-0,0
169,-0,-0,2,0
170,28,11,-0,0
172,-0,-0,3,0
173,27,40,-0,0
175,-0,-0,5,0
176,32,18,-0,0
178,-0,-0,3,0
179,33,34,-0,0
181,-0,-0,1,0
182,12,15,-0,0
184,-0,-0,1,0
185,20,23,-0,0
187,-0,-0,2,0
188,9,8,-0,0
190,-0,-0,1,0
191,5,8,-0,0
193,-0,-0,1,0
194,4,5,-0,0
197,4,6,-0,0
200,5,-0,-0,0
203,2,-0,-0,0
206,2,-0,-0,0
209,2,1,-0,0
212,2,-0,-0,0
215,-0,1,-0,0
