Day,RKM483,RKM479,RKM474,RKM454
114,0,0,1,0
121,0,1,-0,0
130,0,1,-0,0
133,0,1,-0,0
136,0,2,-0,0
145,5,1,-0,0
148,5,1,-0,0
151,-0,1,-0,0
154,3,1,-0,0
157,2,1,-0,0
160,6,2,-0,0
163,7,2,-0,0
166,9,2,-0,0
169,10,4,-0,0
171,-0,-0,1,0
172,25,10,-0,0
174,-0,-0,1,0
175,45,9,-0,0
178,42,16,-0,0
180,-0,-0,1,0
181,53,22,-0,0
183,-0,-0,2,0
184,63,15,-0,0
186,-0,-0,2,0
187,68,32,-0,0
189,-0,-0,2,0
190,41,20,-0,0
192,-0,-0,3,0
193,58,29,-0,0
195,-0,-0,2,0
196,56,25,-0,0
198,-0,-0,1,0
199,47,18,-0,0
201,-0,-0,1,0
202,35,18,-0,0
204,-0,-0,1,0
205,37,27,-0,0
207,-0,-0,1,0
208,39,16,-0,0
210,-0,-0,2,0
211,21,9,-0,0
213,-0,-0,1,0
214,15,3,-0,0
217,6,2,-0,0
220,9,4,-0,0
223,4,-0,-0,0
226,3,-0,-0,0
232,1,-0,-0,0
235,1,-0,-0,0
241,1,-0,-0,0
