Day,RKM483,RKM479,RKM474,RKM454
114,0,2,0,0
116,0,-0,2,0
122,0,-0,1,0
123,2,1,-0,0
135,-0,2,-0,0
137,-0,-0,1,0
138,1,1,-0,0
141,-0,1,-0,0
142,-0,-0,-0,1
143,-0,-0,3,-0
144,3,2,-0,-0
145,-0,-0,-0,1
146,-0,-0,1,-0
147,-0,1,-0,-0
149,-0,-0,1,-0
150,5,5,-0,-0
152,-0,-0,1,-0
153,7,8,-0,-0
155,-0,-0,1,-0
156,6,20,-0,-0
158,-0,-0,6,-0
159,17,15,-0,-0
161,-0,-0,4,-0
162,21,13,-0,-0
164,-0,-0,4,-0
165,16,15,-0,-0
167,-0,-0,4,-0
168,31,14,-0,-0
169,-0,-0,-0,1
170,-0,-0,4,-0
171,24,19,-0,-0
173,-0,-0,5,-0
174,22,24,-0,-0
175,-0,-0,-0,2
176,-0,-0,5,-0
177,30,15,-0,-0
178,-0,-0,-0,3
179,-0,-0,11,-0
180,33,18,-0,-0
181,-0,-0,-0,1
182,-0,-0,5,-0
183,56,34,-0,-0
185,-0,-0,6,-0
186,53,26,-0,-0
187,-0,-0,-0,1
188,-0,-0,6,-0
189,41,29,-0,-0
191,-0,-0,5,-0
192,31,24,-0,-0
193,-0,-0,-0,1
194,-0,-0,4,-0
195,27,19,-0,-0
196,-0,-0,-0,1
197,-0,-0,5,-0
198,28,20,-0,-0
200,-0,-0,3,-0
201,36,16,-0,-0
203,-0,-0,3,-0
204,32,6,-0,-0
206,-0,-0,4,-0
207,20,14,-0,-0
209,-0,-0,1,-0
210,26,10,-0,-0
213,6,4,-0,-0
215,-0,-0,1,-0
216,8,1,-0,-0
219,1,2,-0,-0
222,4,-0,-0,-0
225,2,-0,-0,-0
228,1,1,-0,-0
231,2,-0,-0,-0
237,-0,1,-0,-0
248,-0,-0,1,-0
