Day,RKM483,RKM479,RKM474,RKM454
118,0,0,1,0
119,0,3,-0,0
122,2,-0,-0,0
125,-0,3,-0,0
127,-0,-0,1,0
128,1,3,-0,0
131,2,5,-0,0
133,-0,-0,1,0
134,2,9,-0,0
137,10,5,-0,0
140,8,13,-0,0
142,-0,-0,1,0
143,7,12,-0,0
145,-0,-0,2,0
146,7,23,-0,0
148,-0,-0,1,0
149,11,25,-0,0
150,-0,-0,-0,1
151,-0,-0,5,-0
152,16,44,-0,-0
154,-0,-0,3,-0
155,14,35,-0,-0
157,-0,-0,4,-0
158,41,62,-0,-0
160,-0,-0,5,-0
161,12,35,-0,-0
163,-0,-0,4,-0
164,24,67,-0,-0
166,-0,-0,5,-0
167,21,68,-0,-0
169,-0,-0,6,-0
170,39,62,-0,-0
172,-0,-0,5,-0
173,45,81,-0,-0
174,-0,-0,-0,1
175,-0,-0,7,-0
176,51,102,-0,-0
178,-0,-0,8,-0
179,53,100,-0,-0
181,-0,-0,8,-0
182,49,110,-0,-0
183,-0,-0,-0,1
184,-0,-0,8,-0
185,39,132,-0,-0
187,-0,-0,10,-0
188,68,116,-0,-0
189,-0,-0,-0,1
190,-0,-0,5,-0
191,49,74,-0,-0
193,-0,-0,6,-0
194,53,57,-0,-0
196,-0,-0,2,-0
197,34,41,-0,-0
199,-0,-0,2,-0
200,21,35,-0,-0
201,-0,-0,-0,1
202,-0,-0,1,-0
203,16,28,-0,-0
205,-0,-0,1,-0
206,8,10,-0,-0
208,-0,-0,1,-0
209,4,8,-0,-0
212,4,2,-0,-0
215,-0,1,-0,-0
218,3,1,-0,-0
221,1,2,-0,-0
