Day,RKM483,RKM479,RKM474,RKM454
120,2,0,0,0
126,1,0,0,0
135,1,0,0,0
138,-0,1,0,0
141,2,-0,0,0
147,3,-0,0,0
150,3,1,0,0
153,3,-0,0,0
155,-0,-0,1,0
156,5,-0,-0,0
159,6,1,-0,0
162,9,-0,-0,0
165,9,1,-0,0
168,9,2,-0,0
171,7,3,-0,0
173,-0,-0,1,0
174,8,2,-0,0
177,32,3,-0,0
179,-0,-0,1,0
180,26,9,-0,0
183,22,5,-0,0
185,-0,4,-0,0
186,21,4,-0,0
188,-0,4,1,0
189,32,4,-0,0
191,-0,3,1,0
192,20,2,-0,0
194,-0,1,1,0
195,20,4,-0,0
197,-0,3,-0,0
198,18,2,-0,0
200,-0,2,-0,0
201,19,2,-0,0
204,24,1,-0,0
206,-0,-0,1,0
207,14,3,-0,0
210,9,1,-0,0
212,-0,-0,1,0
213,8,1,-0,0
216,3,-0,-0,0
219,1,1,-0,0
222,1,-0,-0,0
