Day,RKM483,RKM479,RKM474,RKM454
120,0,0,1,0
122,0,4,-0,0
125,6,4,1,0
128,-0,7,-0,0
129,-0,-0,1,0
131,1,11,1,0
134,2,11,-0,0
135,-0,-0,1,0
137,3,8,-0,0
140,1,11,-0,0
141,-0,-0,2,0
143,4,13,1,0
146,10,15,-0,0
147,-0,-0,1,0
149,5,20,-0,0
150,-0,-0,1,0
152,11,15,1,0
153,-0,-0,1,0
155,7,21,2,0
156,-0,-0,5,0
158,13,33,2,0
161,15,32,2,0
162,-0,-0,3,0
164,18,24,5,0
165,-0,-0,3,0
167,35,37,5,0
168,-0,-0,8,0
170,45,53,2,0
171,-0,-0,7,0
173,45,72,2,0
174,-0,-0,6,0
176,65,74,4,0
177,-0,-0,10,0
179,56,63,6,0
180,-0,-0,6,0
182,49,82,6,0
183,-0,-0,7,0
185,69,87,11,0
186,-0,-0,9,0
188,57,66,9,0
189,-0,-0,7,0
191,24,64,5,0
192,-0,-0,5,0
194,52,70,2,0
195,-0,-0,9,0
197,18,58,8,0
198,-0,-0,7,0
200,27,49,3,0
201,-0,-0,4,0
203,25,32,1,0
204,-0,-0,2,0
206,20,32,2,0
207,-0,-0,2,0
209,12,17,2,0
210,-0,-0,1,0
212,6,14,1,0
215,2,7,-0,0
218,1,6,-0,0
221,-0,5,1,0
224,2,1,-0,0
239,-0,1,-0,0
