Day,RKM483,RKM479,RKM474,RKM454
115,0,2,0,0
116,0,-0,1,0
118,2,3,-0,0
121,-0,2,-0,0
124,-0,2,1,0
125,-0,-0,1,0
127,-0,3,1,0
128,-0,-0,1,0
133,-0,-0,1,0
134,-0,-0,1,0
136,-0,6,-0,0
137,-0,-0,3,0
139,-0,6,1,0
140,-0,-0,2,0
142,-0,5,3,0
143,-0,-0,1,0
145,-0,4,2,0
146,-0,-0,5,0
149,-0,-0,7,0
151,-0,12,1,0
152,-0,-0,3,0
154,-0,15,3,0
155,-0,-0,9,0
157,2,24,3,0
158,-0,-0,9,0
160,-0,34,1,0
161,-0,-0,12,0
163,13,36,6,0
164,-0,-0,21,0
166,3,33,4,0
167,-0,-0,16,0
169,5,27,9,0
170,-0,-0,18,0
172,9,47,13,0
173,-0,-0,15,0
175,18,42,5,0
176,-0,-0,21,0
179,14,92,4,0
180,-0,-0,12,0
182,24,82,9,0
183,-0,-0,13,0
185,12,31,4,0
186,-0,-0,11,0
188,8,41,-0,0
189,-0,-0,9,0
191,11,39,2,0
192,-0,-0,7,0
194,5,32,-0,0
195,-0,-0,7,0
197,5,37,-0,0
198,-0,-0,7,0
200,11,20,-0,0
201,-0,-0,7,0
203,8,28,1,0
204,-0,-0,2,0
206,1,20,-0,0
207,-0,2,2,0
209,5,12,-0,0
210,-0,-0,3,0
212,12,2,1,0
213,-0,-0,1,0
215,1,7,1,0
218,3,3,-0,0
221,7,5,-0,0
224,-0,3,-0,0
227,1,2,-0,0
230,1,2,-0,0
