Day,RKM483,RKM479,RKM474,RKM454
117,2,4,0,0
120,-0,2,0,0
121,-0,-0,3,0
123,3,7,1,0
124,-0,-0,1,0
126,1,9,-0,0
129,-0,6,1,0
130,-0,-0,3,0
132,-0,14,4,0
133,-0,-0,4,0
135,1,11,1,0
136,-0,-0,1,0
138,4,29,1,0
139,-0,-0,3,0
141,1,20,4,0
142,-0,-0,4,0
144,1,28,1,0
145,-0,-0,4,0
147,4,11,15,0
148,-0,-0,3,0
150,1,12,2,0
151,-0,-0,8,0
153,2,13,4,0
154,-0,-0,2,0
156,10,56,8,0
157,-0,-0,7,0
159,2,52,7,0
160,-0,-0,5,0
162,4,55,3,0
163,-0,-0,5,0
165,14,64,9,0
166,-0,-0,12,0
168,12,41,6,0
169,-0,-0,9,0
171,20,70,19,0
172,-0,-0,7,0
174,4,43,12,0
175,-0,-0,8,0
177,22,87,19,0
178,-0,-0,7,0
180,15,66,8,0
181,-0,-0,9,0
183,8,71,6,0
184,-0,-0,13,0
186,15,39,5,0
187,-0,-0,5,0
189,2,49,9,0
190,-0,-0,3,0
192,9,35,4,0
193,-0,-0,3,0
195,4,34,6,0
196,-0,-0,4,0
198,4,13,1,0
199,-0,-0,1,0
201,-0,13,1,0
202,-0,-0,1,0
204,1,10,-0,0
207,3,1,1,0
210,-0,4,-0,0
211,-0,-0,2,0
213,1,1,-0,0
216,-0,4,-0,0
219,-0,-0,1,0
222,-0,2,-0,0
