Day,RKM483,RKM479,RKM474,RKM454
119,2,0,0,0
146,-0,2,0,0
154,-0,-0,1,0
158,1,-0,-0,0
159,-0,-0,-0,1
161,1,-0,-0,-0
170,1,-0,-0,-0
172,-0,-0,1,-0
175,-0,-0,1,-0
176,-0,1,-0,-0
178,-0,-0,1,-0
179,-0,2,-0,-0
182,-0,2,-0,-0
185,-0,2,-0,-0
191,-0,3,-0,-0
193,-0,-0,1,-0
194,-0,3,-0,-0
197,-0,6,-0,-0
198,-0,-0,-0,1
199,-0,-0,2,-0
200,1,3,-0,-0
203,1,5,-0,-0
206,-0,2,-0,-0
207,-0,-0,-0,1
208,-0,-0,1,-0
209,-0,3,-0,-0
212,2,-0,-0,-0
215,-0,1,-0,-0
217,-0,-0,1,-0
218,-0,1,-0,-0
220,-0,-0,1,-0
221,1,-0,-0,-0
230,-0,2,-0,-0
236,1,-0,-0,-0
