Recaptured ,TagIn1,TagIn2,TagIn3,TagIn4
Section1,0.867988395,0,0,0
Section2,0.117504836,0.777855641,0,0
Section3,0.012088975,0.213034338,0.965425532,0
Section4,0.002417795,0.009110021,0.034574468,1
